SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
CN1CCOC(C2=CC=CC=C2)C2=CC=CC=C2C1,650.0,98,12.47,2.0314470752587894,12.396686360221295,5.554883036559278,2.698159794025511,253.345,3.238000000000002,0,2,1,3,0.7733298315151294
CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,718.0,92,16.130000000000003,2.25847511572667,14.03810833666951,6.68985926125854,4.049073463055102,274.795,3.8186000000000027,0,2,5,2,0.8240069237957237
CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,718.0,92,16.130000000000003,2.25847511572667,14.224000380423613,6.826182966360543,4.1490997732367605,319.246,3.9277000000000024,0,2,5,2,0.8300542359520315
CC1C2CC3=CC=C(O)C=C3C1(C)CCN2CC=C(C)C,870.0,116,23.47,1.9568456537174737,14.648695705259302,5.1696143665860355,2.3975778757740662,285.431,3.8826000000000036,1,2,2,3,0.8335259245753122
OCCN1CCN(CC\C=C2\C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,2000.0,142,26.71,1.4889552519845977,19.035453872209203,8.802633732845203,4.413672412776684,400.9750000000002,4.2363000000000035,1,4,5,4,0.6926572562952837
CN(C)CCC(C1=CC=CC=C1)C1=NC=CC=C1,614.0,86,16.130000000000003,2.236037923027508,12.778308504442961,6.313309631671969,3.4090017630861507,240.35000000000002,3.1652000000000013,0,2,5,2,0.7977462845021501
CN(C)C\C=C(\C1=CC=C(Br)C=C1)C1=CN=CC=C1,718.0,92,16.130000000000003,2.3987415139253154,13.969642403063043,6.639812137829195,4.012444278389034,317.22999999999996,3.8374000000000024,0,2,4,2,0.8516726555149139
C#CCN[C@@H]1CCC2=C1C=CC=C2,251.0,64,12.03,2.147729216670361,8.343298921307444,3.635894622799467,1.5865224645702365,171.24300000000002,1.8967,1,1,2,2,0.6700261204475028
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,581.0,90,0.0,2.4676187369448983,14.018545496589201,6.164208984375,3.128924686664911,320.04600000000005,5.929000000000003,0,0,3,2,0.6150214671313036
FC1=C(C=CC=C1)C1=NCC(=S)N(CC(F)(F)F)C2=CC=C(Cl)C=C12,1335.0,134,15.6,2.1928932100785112,17.820887160529633,6.724754096545166,3.8234094381937465,386.801,5.026200000000003,0,2,2,3,0.5313446230748397
CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,1137.0,122,37.61,2.190011179114441,15.282399930999292,5.8758692342404295,2.972204731109772,307.39700000000005,3.248840000000002,0,2,3,3,0.7446971593088006
CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=C1C=CC=C2,1307.0,116,30.29,1.7906088847422015,15.56131006253978,7.288957934251559,3.9025911736281094,309.413,3.4151000000000016,0,3,7,3,0.6265558693074326
CN[C@@H](C)CC1=CC=CC=C1,168.0,48,12.03,2.508120077819107,8.278231827111984,4.140518333373778,2.7243365010212277,149.237,1.837,1,1,3,1,0.6911085509284691
CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F,470.0,76,12.03,2.7505823470987134,13.036800267201068,5.344160556818799,3.8500658986092047,231.26099999999997,3.2459000000000024,1,1,4,1,0.8383597745599245
OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,1039.0,112,23.47,1.7265103084694822,16.01390346535948,7.608623891357695,3.7212420871473175,301.47399999999993,4.330500000000004,1,2,5,3,0.8747104302685795
CN(C)CC(OC1=CC=CC=C1)OC1=CC=CC=C1,756.0,90,21.700000000000003,2.0348216209556864,13.432098765432098,6.805293005671078,4.6390532544378695,257.33299999999997,3.0321000000000016,0,3,6,2,0.7424381824141622
O=C1N(C[C@H]2CCCC3=CC=CC1=C23)[C@@H]1CN2CCC1CC2,931.0,130,23.550000000000004,1.528817791886669,13.122340968282113,4.821589868943879,1.8103745143878305,296.41400000000004,2.656500000000001,0,2,1,6,0.7952497114867855
CNCC[C@@H](OC1=C(C)C=CC=C1)C1=CC=CC=C1,728.0,90,21.259999999999998,2.1677101574786883,13.62748460330878,6.953864447086801,3.831122161756427,255.36100000000002,3.7246200000000034,1,2,6,2,0.8489950317721323
